自用拼音	中古拼音(polyhedron 版)
pǔŋ	pungx
pu̍k	puk
phu̍k	phuk
būŋ	bung
bǔŋ	bungx
bu̍k	buk
mūŋ	mung
mǔŋ	mungx
mùŋ	mungh
mu̍k	muk
tūŋ	tung
tǔŋ	tungx
tùŋ	tungh
tu̍k	tuk
thūŋ	thung
thǔŋ	thungx
thùŋ	thungh
thu̍k	thuk
dūŋ	dung
dǔŋ	dungx
dùŋ	dungh
du̍k	duk
nǔŋ	nungx
nùŋ	nungh
lūŋ	lung
lǔŋ	lungx
lùŋ	lungh
lu̍k	luk
tsūŋ	cung
tsǔŋ	cungx
tsùŋ	cungh
tsu̍k	cuk
tshūŋ	chung
tshùŋ	chungh
tshu̍k	chuk
dzūŋ	zung
dzùŋ	zungh
dzu̍k	zuk
sūŋ	sung
sǔŋ	sungx
sùŋ	sungh
su̍k	suk
kūŋ	kung
kùŋ	kungh
ku̍k	kuk
khūŋ	khung
khǔŋ	khungx
khùŋ	khungh
khu̍k	khuk
ŋūŋ	ngung
hūŋ	hung
hǔŋ	hungx
hùŋ	hungh
hu̍k	huk
ĥūŋ	ghung
ĥǔŋ	ghungx
ĥùŋ	ghungh
ĥu̍k	ghuk
ȝūŋ	qung
ȝǔŋ	qungx
ȝùŋ	qungh
ȝu̍k	quk
liūŋ	liung
liu̍k	liuk
ṭiūŋ	triung
ṭiùŋ	triungh
ṭiu̍k	triuk
ṭhiūŋ	thriung
ṭhiu̍k	thriuk
ḍiūŋ	driung
ḍiùŋ	driungh
ḍiu̍k	driuk
ṇiu̍k	nriuk
tsiu̍k	ciuk
tshiùŋ	chiungh
tshiu̍k	chiuk
dziu̍k	ziuk
siūŋ	siung
siu̍k	siuk
tšiu̍k	criuk
tšhiu̍k	chriuk
džiūŋ	zriung
džiùŋ	zriungh
šiu̍k	sriuk
tśiūŋ	cjung
tśiùŋ	cjungh
tśiu̍k	cjuk
tśhiūŋ	chjung
tśhiùŋ	chjungh
tśhiu̍k	chjuk
dźiu̍k	zjuk
ńiūŋ	njung
ńiu̍k	njuk
śiu̍k	sjuk
kiūŋ	kiung
kiu̍k	kiuk
khiūŋ	khiung
khiùŋ	khiungh
khiu̍k	khiuk
giūŋ	giung
giu̍k	giuk
ŋiu̍k	ngiuk
hiùŋ	hiungh
hiu̍k	hiuk
ȝiu̍k	qiuk
jiūŋ	jung
jiu̍k	juk
iūŋ	iung
iu̍k	iuk
püūŋ	piung
püùŋ	piungh
püu̍k	piuk
phüūŋ	phiung
phüùŋ	phiungh
phüu̍k	phiuk
büūŋ	biung
büùŋ	biungh
büu̍k	biuk
müūŋ	miung
müùŋ	miungh
müu̍k	miuk
po̍k	puuk
bo̍k	buuk
mǒŋ	muungx
mòŋ	muungh
mo̍k	muuk
tōŋ	tuung
tǒŋ	tuungx
to̍k	tuuk
thōŋ	thuung
thòŋ	thuungh
dōŋ	duung
do̍k	duuk
nōŋ	nuung
no̍k	nuuk
lōŋ	luung
lo̍k	luuk
tsōŋ	cuung
tsòŋ	cuungh
tso̍k	cuuk
dzōŋ	zuung
sōŋ	suung
sòŋ	suungh
so̍k	suuk
kōŋ	kuung
ko̍k	kuuk
kho̍k	khuuk
ŋo̍k	nguuk
ho̍k	huuk
ĥōŋ	ghuung
ĥòŋ	ghuungh
ĥo̍k	ghuuk
ȝo̍k	quuk
liōŋ	lyung
liǒŋ	lyungx
liòŋ	lyungh
lio̍k	lyuk
ṭiǒŋ	tryungx
ṭiòŋ	tryungh
ṭio̍k	tryuk
ṭhiōŋ	thryung
ṭhiǒŋ	thryungx
ṭhiòŋ	thryungh
ṭhio̍k	thryuk
ḍiōŋ	dryung
ḍiǒŋ	dryungx
ḍiòŋ	dryungh
ḍio̍k	dryuk
ṇiōŋ	nryung
ṇiòŋ	nryungh
tsiōŋ	cyung
tsiǒŋ	cyungx
tsiòŋ	cyungh
tsio̍k	cyuk
tshiōŋ	chyung
tshio̍k	chyuk
dziōŋ	zyung
dziòŋ	zyungh
siōŋ	syung
siǒŋ	syungx
sio̍k	syuk
ziōŋ	zsyung
ziòŋ	zsyungh
zio̍k	zsyuk
tśiōŋ	cjyung
tśiǒŋ	cjyungx
tśiòŋ	cjyungh
tśio̍k	cjyuk
tśhiōŋ	chjyung
tśhiǒŋ	chjyungx
tśhio̍k	chjyuk
dźiōŋ	zjyung
dźiǒŋ	zjyungx
dźio̍k	zjyuk
ńiōŋ	njyung
ńiǒŋ	njyungx
ńiòŋ	njyungh
ńio̍k	njyuk
śiōŋ	sjyung
śio̍k	sjyuk
źio̍k	zsjyuk
kiōŋ	kyung
kiǒŋ	kyungx
kiòŋ	kyungh
kio̍k	kyuk
khiōŋ	khyung
khiǒŋ	khyungx
khiòŋ	khyungh
khio̍k	khyuk
giōŋ	gyung
giǒŋ	gyungx
giòŋ	gyungh
gio̍k	gyuk
ŋiōŋ	ngyung
ŋio̍k	ngyuk
hiōŋ	hyung
hiǒŋ	hyungx
hio̍k	hyuk
ȝiōŋ	qyung
ȝiǒŋ	qyungx
ȝiòŋ	qyungh
jiōŋ	jyung
jiǒŋ	jyungx
jiòŋ	jyungh
jio̍k	jyuk
püōŋ	pyung
püǒŋ	pyungx
püòŋ	pyungh
püo̍k	pyuk
phüōŋ	phyung
phüǒŋ	phyungx
büōŋ	byung
büǒŋ	byungx
büòŋ	byungh
büo̍k	byuk
pəōŋ	prung
pəǒŋ	prungx
pəo̍k	pruk
phəōŋ	phrung
phəòŋ	phrungh
phəo̍k	phruk
bəōŋ	brung
bəǒŋ	brungx
bəo̍k	bruk
məōŋ	mrung
məǒŋ	mrungx
məo̍k	mruk
ləōŋ	lrung
ləo̍k	lruk
ṭəōŋ	trung
ṭəòŋ	trungh
ṭəo̍k	truk
ṭhəōŋ	thrung
ṭhəòŋ	thrungh
ṭhəo̍k	thruk
ḍəōŋ	drung
ḍəòŋ	drungh
ḍəo̍k	druk
ṇəōŋ	nrung
ṇəo̍k	nruk
tšəo̍k	cruk
tšhəōŋ	chrung
tšhəòŋ	chrungh
tšhəo̍k	chruk
džəōŋ	zrung
džəòŋ	zrungh
džəo̍k	zruk
šəōŋ	srung
šəòŋ	srungh
šəo̍k	sruk
kəōŋ	krung
kəǒŋ	krungx
kəòŋ	krungh
kəo̍k	kruk
khəōŋ	khrung
khəo̍k	khruk
ŋəōŋ	ngrung
ŋəo̍k	ngruk
həōŋ	hrung
həǒŋ	hrungx
həo̍k	hruk
ĥəōŋ	ghrung
ĥəǒŋ	ghrungx
ĥəòŋ	ghrungh
ĥəo̍k	ghruk
ȝəōŋ	qrung
ȝəǒŋ	qrungx
ȝəo̍k	qruk
pьiē	pje
pьiě	pjex
pьiè	pjeh
phьiē	phje
phьiě	phjex
phьiè	phjeh
bьiē	bje
bьiě	bjex
bьiè	bjeh
mьiē	mje
mьiě	mjex
lьiē	lie
lьiě	liex
lьiè	lieh
tsьiē	cie
tsьiě	ciex
tsьiè	cieh
tshьiē	chie
tshьiě	chiex
tshьiè	chieh
dzьiē	zie
dzьiè	zieh
sьiē	sie
sьiě	siex
sьiè	sieh
tśьiē	cje
tśьiě	cjex
tśьiè	cjeh
tśhьiē	chje
tśhьiě	chjex
tśhьiè	chjeh
dźьiē	zje
dźьiě	zjex
dźьiè	zjeh
ńьiē	nje
ńьiě	njex
śьiē	sje
śьiě	sjex
śьiè	sjeh
źьiě	zsjex
kьiě	kjex
kьiè	kjeh
khьiě	khjex
khьiè	khjeh
gьiē	gje
hьiē	hje
ȝьiè	qjeh
jьiē	je
jьiě	jex
jьiè	jeh
lьüē	lye
lьüě	lyex
lьüè	lyeh
tsьüē	cye
tsьüě	cyex
dzьüě	zyex
sьüē	sye
sьüě	syex
sьüè	syeh
zьüē	zsye
zьüě	zsyex
tśьüě	cjyex
tśьüè	cjyeh
tśhьüē	chjye
tśhьüè	chjyeh
dźьüē	zjye
dźьüě	zjyex
dźьüè	zjyeh
ńьüē	njye
ńьüě	njyex
ńьüè	njyeh
kьüē	kjye
kьüè	kjyeh
khьüē	khjye
khьüě	khjyex
khьüè	khjyeh
hьüē	hjye
hьüè	hjyeh
ȝьüè	qjyeh
jьüē	jye
jьüě	jyex
jьüè	jyeh
piē	pie
piě	piex
piè	pieh
phiē	phie
phiě	phiex
phiè	phieh
biē	bie
