待处理多音字	出现次数	总和占比	总和	完成日期
生	88	1.0358%	88	
出	77	1.9421%	165	
風	69	2.7542%	234	
分	65	3.5193%	299	
定	61	4.2373%	360	
面	57	4.9082%	417	
兒	56	5.5673%	473	
光	54	6.2029%	527	
合	54	6.8385%	581	
重	54	7.4741%	635	
下	53	8.0979%	688	2019/11/18√
會	52	8.7100%	740	2019/11/18√
教	51	9.3103%	791	2019/11/18√
度	50	9.8988%	841	2019/11/18√
當	49	10.4755%	890	2019/11/18√
相	48	11.0405%	938	2019/11/18√
轉	47	11.5937%	985	2019/11/18√
作	47	12.1469%	1032	2019/11/18√
後	45	12.6766%	1077	2019/11/18√
中	45	13.2062%	1122	2019/11/18√
方	44	13.7241%	1166	2019/11/18√
好	44	14.2420%	1210	2019/11/20√
正	44	14.7599%	1254	2019/11/20√
放	43	15.2660%	1297	2019/11/20√
回	43	15.7721%	1340	2019/11/20√
量	43	16.2782%	1383	2019/11/22√
調	42	16.7726%	1425	2019/11/22√
難	42	17.2669%	1467	2019/11/22√
平	42	17.7613%	1509	2019/11/22√
取	42	18.2556%	1551	2019/11/25√
收	41	18.7382%	1592	2019/11/25√
打	40	19.2090%	1632	2019/11/25√
解	40	19.6798%	1672	2019/11/25√
見	39	20.1389%	1711	2019/12/18√
經	37	20.5744%	1748	2019/12/18√
語	36	20.9981%	1784	2019/12/18√
傳	35	21.4101%	1819	2019/12/18√
親	35	21.8220%	1854	2020/3/15√
精	34	22.2222%	1888	2020/3/15√
數	34	22.6224%	1922	2020/3/15√
反	32	22.9991%	1954	2020/3/15√
空	32	23.3757%	1986	2020/3/15√
能	32	23.7524%	2018	2020/3/15√
視	32	24.1290%	2050	2020/3/15√
著	32	24.5056%	2082	2020/3/15√
應	31	24.8705%	2113	2020/3/15√
處	30	25.2236%	2143	2020/3/15√
間	30	25.5767%	2173	2020/3/15√
散	30	25.9298%	2203	
提	30	26.2830%	2233	
於	30	26.6361%	2263	
員	30	26.9892%	2293	
樂	30	27.3423%	2323	
看	29	27.6836%	2352	
苦	29	28.0250%	2381	
任	29	28.3663%	2410	
養	29	28.7076%	2439	
女	28	29.0372%	2467	
切	28	29.3668%	2495	
推	28	29.6963%	2523	
向	28	30.0259%	2551	
稱	27	30.3437%	2578	
觀	27	30.6615%	2605	
曲	27	30.9793%	2632	
深	27	31.2971%	2659	
使	27	31.6149%	2686	
望	27	31.9327%	2713	
惡	26	32.2387%	2739	
防	26	32.5447%	2765	
說	26	32.8508%	2791	
除	25	33.1450%	2816	
單	25	33.4393%	2841	
房	25	33.7335%	2866	
管	25	34.0278%	2891	
和	25	34.3220%	2916	
角	25	34.6163%	2941	
冷	25	34.9105%	2966	
傷	25	35.2048%	2991	
先	25	35.4991%	3016	
裝	25	35.7933%	3041	
假	24	36.0758%	3065	
近	24	36.3583%	3089	
毛	24	36.6408%	3113	
輕	24	36.9233%	3137	
區	24	37.2057%	3161	
選	24	37.4882%	3185	
演	24	37.7707%	3209	
在	24	38.0532%	3233	
參	23	38.3239%	3256	
差	23	38.5946%	3279	
從	23	38.8653%	3302	
倒	23	39.1361%	3325	
等	23	39.4068%	3348	
告	23	39.6775%	3371	
勞	23	39.9482%	3394	
聽	23	40.2189%	3417	
土	23	40.4896%	3440	
創	22	40.7486%	3462	
斷	22	41.0075%	3484	
號	22	41.2665%	3506	
積	22	41.5254%	3528	
離	22	41.7844%	3550	
射	22	42.0433%	3572	
守	22	42.3023%	3594	
思	22	42.5612%	3616	
興	22	42.8202%	3638	
院	22	43.0791%	3660	
查	21	43.3263%	3681	
決	21	43.5734%	3702	
留	21	43.8206%	3723	
費	20	44.0560%	3743	
格	20	44.2914%	3763	
活	20	44.5268%	3783	
居	20	44.7622%	3803	
科	20	44.9976%	3823	
評	20	45.2331%	3843	
別	19	45.4567%	3862	
核	19	45.6803%	3881	
激	19	45.9040%	3900	
念	19	46.1276%	3919	
盛	19	46.3512%	3938	
野	19	46.5749%	3957	
增	19	46.7985%	3976	
彈	18	47.0104%	3994	
復	18	47.2222%	4012	
聯	18	47.4341%	4030	
示	18	47.6460%	4048	
王	18	47.8578%	4066	
遺	18	48.0697%	4084	
引	18	48.2815%	4102	
遠	18	48.4934%	4120	
折	18	48.7053%	4138	
治	18	48.9171%	4156	
種	18	49.1290%	4174	
將	17	49.3291%	4191	
少	17	49.5292%	4208	
首	17	49.7293%	4225	
虛	17	49.9294%	4242	
蟲	16	50.1177%	4258	
繁	16	50.3060%	4274	
飯	16	50.4944%	4290	
攻	16	50.6827%	4306	
